name,latitude,longitude,historic,tourism,amenity
Ptaszarnia,52.2969118,16.7589159,Unknown,attraction,Unknown
Boisko do piłki siatkowej plażowej,52.1676168,16.4549835,Unknown,attraction,Unknown
divoký kůň z Exmooru,50.1859151,15.8590083,Unknown,attraction,Unknown
Płaskorzeźby w skale,51.1130546,15.8872994,Unknown,attraction,Unknown
Wybieg dla hipopotamów,52.2606836,21.0179435,Unknown,attraction,Unknown
Kob nilowy,52.2585553,21.0191241,Unknown,attraction,enclosing
Oryks szablorogi,52.2582681,21.0194553,Unknown,attraction,enclosing
Żubr,52.2577451,21.0198534,Unknown,attraction,enclosing
Wielbłąd dwugarbny,52.2593454,21.0179293,Unknown,attraction,enclosing
Kea,52.2565958,21.0252616,Unknown,attraction,enclosing
Bývalá vysílací stanice Hradec Králové - Na Plachtě,50.189428,15.8634197,Unknown,attraction,Unknown
Скала Орел,49.0444851,23.5743889,Unknown,attraction,Unknown
Labirynt,54.1923428,18.0281937,Unknown,attraction,Unknown
Partizánska Nemocnica,49.3272506,19.2217104,Unknown,attraction,Unknown
Kaplica Matki Boskiej Częstochowskiej w Grabówce,50.0273612,18.3144774,wayside_shrine,attraction,place_of_worship
Pałacyk Kasyno,52.1210393,20.7200252,Unknown,attraction,Unknown
Kładka Edukacyjna,54.7840607,18.4178707,Unknown,attraction,Unknown
OSiR Bunkier,51.8635669,15.3785576,Unknown,attraction,Unknown
Lesní Balneo,50.0136311,17.0017513,Unknown,attraction,Unknown
Balopark,50.1630571,19.463973,Unknown,attraction,Unknown
Kościół Matki Boskiej Szkaplerznej,49.5706933,21.0064524,church,attraction,place_of_worship
Zamczysko,49.7477841,19.3049375,Unknown,attraction,Unknown
Studnia z Bazyliszkiem,51.6383767,15.1439754,Unknown,attraction,Unknown
Nowosolska Aleja Gwiazd,51.8041052,15.7249641,Unknown,attraction,Unknown
Zabytkowy dom sióstr,50.1975937,22.5197637,Unknown,attraction,Unknown
Małpy,50.0545213,19.8534938,Unknown,attraction,Unknown
Woliery ptaków,50.05511,19.8522714,Unknown,attraction,Unknown
Ptaki wodne,50.0548681,19.8523907,Unknown,attraction,Unknown
Stajnia Koń na Biegunach,53.5351066,19.8935151,Unknown,attraction,Unknown
Prase divoké,50.173542,15.9123857,Unknown,attraction,Unknown
Muflon a daněk,50.174703,15.9117691,Unknown,attraction,Unknown
Jelen sika Dybowského,50.1702571,15.9142979,Unknown,attraction,Unknown
Kryty most,50.3411503,16.8852488,Unknown,attraction,Unknown
