name,latitude,longitude
Beechwood Trail,41.0196632,-80.6224331
Sheridan Road,41.0341475,-80.6209261
East McKinley Way,41.0238157,-80.6086307
Fireman's Field,41.0262157,-80.6063349
Middle Range Pond,44.0260171,-70.3780642
Megquier Island,44.0646413,-70.4803587
Upper Range Pond,44.0047688,-70.3973115
Lower Range Pond,44.0486043,-70.3698763
Plains Road,44.052767,-70.3740071
Plains Road,44.0583209,-70.3828258
Empire Road,44.084806,-70.3219796
Grams,44.0721626,-70.3516341
Summit Golf Course,44.0456872,-70.4054226
Summit Spring Cemetery,44.0446791,-70.4059993
Fairlawn Golf Course,44.0524389,-70.3355131
East McKinley Way,41.0239323,-80.6102847
East McKinley Way,41.0239727,-80.6108624
Riverside Court,41.0211997,-80.6094021
Duff Road,44.0757338,-70.3976034
Page Road,44.0716449,-70.4045699
Poland Place,44.0733231,-70.4014228
Hilt Hollow,44.0651961,-70.4012097
South Main Street,41.0186356,-80.6072063
South Main Street,41.0216235,-80.6096148
South Main Street,41.0206035,-80.6087009
South Main Street,41.0195941,-80.6079393
Poland Spring Golf Course,44.03244,-70.3654085
Poland Spring Resort - The Lodge,44.0314016,-70.3674465
Poland Spring Resort - The Maine Inn,44.027207,-70.3621209
Poland Spring Resort - The Presidential Inn,44.0267405,-70.3653825
Poland Spring Bottling Center,44.0318583,-70.3551599
Cyndis Dockside,44.0362095,-70.3710055
Mels Hilltop Restaurant,44.029134,-70.3610277
Hiram Weston Ricker House,44.0253115,-70.3614815
Maine State Building,44.0270316,-70.3614181
All Souls Chapel,44.026634,-70.3609689
Nettie Ricker Conference Center,44.031426,-70.3594801
The Poland Springs Corporate Center,44.0321293,-70.3591288
The Spring House,44.0312571,-70.359578
Poland Spring Campground,44.0423651,-70.374432
Poland Crossing,44.069465,-70.4078578
Amelia's Trail,44.0349119,-70.3619643
Donald Ross Drive,44.0275977,-70.3610506
Griffin's Trail,44.0316338,-70.3576437
Maple Trail,44.0292067,-70.3600584
Montague's Trail,44.0347158,-70.3625423
The Boathouse,44.0363589,-70.3707151
Little Androscoggin River,44.1444461,-70.3763756
SL&A Berlin Subdivision,44.0672018,-70.3296462
Davis Brook Drive,44.0622518,-70.302607
Forest Drive,44.0628193,-70.3017387
Joshs Way,44.0656811,-70.2998923
Wedgewood Circle,44.0175421,-70.3706232
Carpenter Road,44.0133702,-70.3633136
Carpenter Road,44.0133198,-70.3633035
Simplicity Way,43.9957978,-70.3595861
Spring Water Road,44.0138227,-70.3625412
Spring Water Road,44.0137723,-70.3625311
Worthley Pond,44.020376,-70.3443813
Outlet Road,43.9894415,-70.366562
Poland Historical Society,44.0620348,-70.396327
Poland Town Hall,44.0619148,-70.3958199
Poland Town Office,44.0623436,-70.3962194
Pine Grove Cemetery,44.066991,-70.3988999
Peterson Park,41.0240108,-80.6139839
Riverside Cemetery,41.025764,-80.6087457
Fireman's Park,41.026059,-80.6064183
Poland Branch Library,41.0226773,-80.6107539
Robert's Drive,44.0786849,-70.3787658
Apple orchard,44.0786887,-70.3822878
Field,44.0777162,-70.3818136
Apple orchard,44.0772105,-70.3805674
Forest and field,44.0758885,-70.3777551
Heart of Poland Conservation Area,44.0637445,-70.4033881
Huntress Trail,44.0636003,-70.4033285
Ricker Trail,44.0615486,-70.3976086
White Oak Trail,44.062781,-70.4038648
Cave Trail,44.0625108,-70.4032438
Bragdon Hill Trail,44.023652,-70.4114615
Bragdon Hill Forest Trails,44.0195843,-70.418392
Bragdon Hill Forest Trails,44.0185739,-70.4195675
Bragdon Hill Forest Trails,44.0167515,-70.4178563
Bragdon Hill Forest Trails,44.017319,-70.4178635
Bragdon Hill Forest Trails,44.019217,-70.4175574
Bragdon Hill Forest Trails,44.0206537,-70.4169761
Bragdon Hill Forest Trails,44.0199786,-70.4114469
Bragdon Hill Forest Trails,44.02941,-70.4162171
Bragdon Hill Forest Trails,44.0248881,-70.4077299
Poland Town Forest,44.0258412,-70.4153294
Walgreens,41.0246209,-80.6160692
Poland Community trail,44.0628345,-70.393711
Poland Community Trail,44.0627461,-70.3937358
Pine Grove Little League Field,44.0689371,-70.3997632
Poland Regional High School / Bruce M. Whittier Middle School,44.0717559,-70.4134178
Railroad Trail,44.066859,-70.3975185
Railroad Trail,44.0691626,-70.396791
Range Pond State Park,44.0387705,-70.3499335
Poland Spring Preservation Society Park,44.0308854,-70.3627708
Poland Baptist Church,44.0438941,-70.3788401
Poland Poland Springs Post Office,44.0503247,-70.3806742
Range Pond State Park Trail,44.0402808,-70.35274
East Ridge Trail,44.0334375,-70.3376846
Montague's Trail,44.0391512,-70.3647783
Griffin's Trail,44.0370734,-70.3627587
Griffin's Trail,44.0271137,-70.3574685
Griffin's Trail,44.0286868,-70.356456
Mirror (Mud) Pond,44.0951472,-70.4540579
Shaker Bog,43.9957781,-70.3727317
Estes Bog,44.0212791,-70.3982878
Griffin's Trail,44.0273717,-70.3569205
Griffin's Trail,44.0284795,-70.3573293
Griffin's Trail,44.0299062,-70.3578808
Range Pond State Park Trail,44.0356925,-70.3508993
Range Pond State Park Trail,44.0374379,-70.3509997
Range Pond State Park Trail,44.0369789,-70.349342
Pine Trail,44.0350869,-70.3385872
Griffin's Trail,44.02587,-70.354946
Griffin's Trail,44.0260368,-70.3564527
Birch Drive,44.0205872,-70.3757865
Birch Drive,44.0196129,-70.3775205
Jackson Road,44.0500861,-70.4037755
Jackson Road,44.0489714,-70.4010157
Schellinger Road,44.0382126,-70.3778715
Schellinger Road,44.0376933,-70.3805997
Herrick Valley Road,44.0686111,-70.4506016
Herrick Valley Road,44.0642002,-70.4549138
Meadow Brook,44.0720087,-70.4577453
Meadow Brook,44.0624906,-70.4474986
Tripp Lake Road,44.0597679,-70.4191832
Tripp Lake Road,44.0591666,-70.4219269
White Oak Hill Road,44.0582423,-70.3965053
White Oak Hill Road,44.0556852,-70.3997289
Jordan Shore Drive,44.0540168,-70.426617
Jordan Shore Drive,44.0494137,-70.4277061
Cobb Road,44.063176,-70.3676061
Cobb Road,44.0627477,-70.3737785
Plains Road,44.051064,-70.3706981
Plains Road,44.0473845,-70.363216
Bakerstown Road,44.0620662,-70.4219035
Mechanic Falls Road,44.0887945,-70.3337305
Lane Road,44.0848052,-70.3334871
Lane Road,44.0852242,-70.3346654
Worthley Brook,44.0810234,-70.3362563
Worthley Brook,44.0512376,-70.3371907
Worthley Brook,44.0657847,-70.3414755
East McKinley Way,41.023693,-80.6065895
Union Elementary School,41.022683,-80.6066537
South Main Street,41.0222038,-80.6105641
South Main Street,41.0219934,-80.6101544
Yellow Creek,40.9820876,-80.6167605
Elm Street,41.020168,-80.6152297
Sheridan Road,41.0295751,-80.6203496
Community Center,44.0635266,-70.3030146
Jacks Way,44.0637209,-70.3035019
Amy Street,44.063008,-70.3053972
Island Drive,41.0312705,-80.6224245
West McKinley Way,41.0242612,-80.6170298
Poland Crushed Stone,44.0116273,-70.3517408
Bark Mulch Drive,44.0575087,-70.29577
Williams Way,44.063232,-70.3069036
Cote Drive,44.0668343,-70.3007574
Hill Valley Road,44.0867437,-70.4566984
Audubon Road,41.0204006,-80.6212637
Klondike Road,44.0684877,-70.4268307
Strawberry Lane,44.0156844,-70.3663562
Raven Drive,44.0146116,-70.3674585
Pumpkin Lane,44.0145383,-70.3678927
Beechnut Lane,44.0102529,-70.3700689
Cranberry Lane,44.0105985,-70.370756
Doe Lane,44.0111699,-70.3713036
Fiddle Head Lane,44.0121141,-70.3695493
Greenwood Drive,44.0128946,-70.3692527
Iris Drive,44.014089,-70.3711387
Moss Drive,44.0147805,-70.371673
Oriole Drive,44.016519,-70.3717788
Underwood Drive,44.018572,-70.370789
Wintergreen Drive,44.0183895,-70.3699186
Third Avenue,44.0247667,-70.3750625
Harts Lane,44.079127,-70.3287616
Estes Way,44.0346675,-70.4034733
Jessica Way,44.0279489,-70.4371755
Buzzys Way,44.0342517,-70.4046948
Whispering Pine Drive,44.0291016,-70.4378137
Tamerack Way,44.0289722,-70.4370119
Horse View Lane,44.0782293,-70.3297791
Poland Transfer Station,44.0663871,-70.4090729
Number 5 Road,44.0061205,-70.3826494
Compost Lane,44.0668925,-70.4099251
Dead Pond Road,44.0543167,-70.3832662
Serenity Cove Lane,44.0558993,-70.458323
Bishop Road,44.0200818,-70.3424216
Bass Cove Lane,44.0252567,-70.4698981
Lunt Lane,44.0503932,-70.455578
Michals Lane,44.0594947,-70.4539151
Harvest Drive,44.0145016,-70.3703636
Reduce It Drive,44.0669161,-70.4088732
Boot Hill Road,44.062082,-70.4140124
Billfred Way,44.0628906,-70.4531582
Starry Night Drive,44.0008651,-70.3639319
McEachern Drive,44.0027069,-70.3928792
Ferry Acres Road,44.0349223,-70.4493468
Young Lane,44.0462432,-70.3949359
Legendre Lane,44.0621436,-70.4663552
Plummer Road,44.0445674,-70.4499051
Webster Way,44.0515013,-70.3550389
Taylor Brook Drive,44.0413314,-70.4242623
Carr Way,44.0078993,-70.4069944
Island Cove Lane,44.0712685,-70.4727498
Whisper Wind Way,44.0777324,-70.4022286
Welch Lane,44.0654545,-70.3860962
Rollys Camp Road,44.0071148,-70.3884898
Island Cove Lane,44.0692189,-70.4737042
Rockwood Lane,44.0687883,-70.4703983
Kinney Woods Lane,44.0363423,-70.404861
Half Moon Lane,44.0526961,-70.4567226
Alexander Lane,44.0929292,-70.3659454
Old Woods Road,44.0626927,-70.3296487
Carlotta Way,44.0769098,-70.3495652
Narrow Way Road,44.0748947,-70.3445928
Brittneys Way,44.0780041,-70.3170126
Hotham Lane,44.0781365,-70.3535262
Elm Street Extension,44.0855077,-70.3703926
Sandy Lane,44.0922025,-70.3504918
Paislee Way,44.06196,-70.3072518
North Hine Circle,41.0186004,-80.6082929
Nesbitt Street,41.019218,-80.6045257
Poland Village Green,41.0190051,-80.6080779
Poland Presbyterian Church,41.018818,-80.6089003
Poland Village Cemetery,41.0192213,-80.6093359
The Inn at the Green,41.018091,-80.6071723
Kirtland-Hine House,41.0196255,-80.6074524
Dr. Eli Mygatt House,41.0198381,-80.6077051
Nesbitt House,41.0188323,-80.6069031
Lee House,41.0202935,-80.6081841
Landgrab House,41.0206177,-80.6083634
Farmers Deposit & Savings Bank,41.0209908,-80.6087027
Robert L. Walker House,41.0213519,-80.6086951
Water Street,41.0292565,-80.608168
The Ledges,41.0231788,-80.6092928
Riverside Court,41.0210877,-80.6095534
Green Meadow Acres,41.0205247,-80.6104722
Riverside Court,41.0209081,-80.6094604
Morse Hall,41.0206884,-80.6090454
Function Hall,44.0437087,-70.3750024
Camp Tall Pines,44.0456682,-70.3748284
Sheridan Road,41.0270588,-80.617699
North Elementary School,41.0346213,-80.6190712
Mill Pond,43.990351,-70.3637979
Mill Stream,43.9857203,-70.3592142
